feature,importance
Order,0.0036962720019301397
PID,0.007610913765685135
MS SubClass,0.002489034158561077
Lot Frontage,0.003901285836866111
Lot Area,0.013303740673020505
Overall Qual,0.570809971788729
Overall Cond,0.010155646774504808
Year Built,0.00923157537284632
Year Remod/Add,0.009384728617828806
Mas Vnr Area,0.0022799871226267883
BsmtFin SF 1,0.0128377835715718
BsmtFin SF 2,0.0
Bsmt Unf SF,0.004774330466117057
Total Bsmt SF,0.029509552684057562
1st Flr SF,0.029906681242352923
2nd Flr SF,0.0058270962547694
Low Qual Fin SF,0.0
Gr Liv Area,0.07579400082287631
Bsmt Full Bath,0.0017580329184494735
Bsmt Half Bath,0.0
Full Bath,0.004701143175505964
Half Bath,0.0008655930042320506
Bedroom AbvGr,0.0011897466954471755
Kitchen AbvGr,0.0
TotRms AbvGrd,0.0013796763598775367
Fireplaces,0.002606405969375771
Garage Yr Blt,0.00396903330929074
Garage Cars,0.05064779378590226
Garage Area,0.05396292294071601
Wood Deck SF,0.0023278947462172343
Open Porch SF,0.0028465004656146008
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,0.0
Pool Area,0.0
Misc Val,0.0
Mo Sold,0.002993806120955105
Yr Sold,0.0007187093879066455
MS Zoning_FV,3.35089956422568e-05
MS Zoning_RL,0.0023280584496607236
MS Zoning_RM,0.006767687756017443
MS Zoning_infrequent_sklearn,0.0009490838972020794
Street_Pave,0.00016376128595546068
Street_infrequent_sklearn,0.00018375845205235338
Alley_Grvl,4.794404645854227e-05
Alley_Pave,4.387419460013185e-05
Lot Shape_IR1,0.0002782160069698668
Lot Shape_IR2,6.099910776791696e-05
Lot Shape_Reg,0.00043127309222227
Lot Shape_infrequent_sklearn,2.8985282910499394e-05
Land Contour_Bnk,0.0018587446307207305
Land Contour_HLS,0.00017630960502713696
Land Contour_Low,6.551086037743823e-05
Land Contour_Lvl,0.0004365026869646765
Utilities_AllPub,2.9148407376290112e-06
Utilities_infrequent_sklearn,9.411535542821485e-06
Lot Config_Corner,0.000265316550781336
Lot Config_CulDSac,0.00018394894743406165
Lot Config_FR2,9.071360238366114e-05
Lot Config_Inside,0.0003351706297885175
Lot Config_infrequent_sklearn,2.3817914957995855e-05
Land Slope_Gtl,0.00028870484719123956
Land Slope_Mod,0.00024191099759499705
Land Slope_infrequent_sklearn,1.0838068869550672e-05
Neighborhood_Blmngtn,2.3290188396551102e-05
Neighborhood_BrDale,6.809685099119455e-05
Neighborhood_BrkSide,0.00012056580588271577
Neighborhood_ClearCr,2.9863844906870306e-05
Neighborhood_CollgCr,6.989320405129672e-05
Neighborhood_Crawfor,0.00034399171129745776
Neighborhood_Edwards,0.0011348252674384769
Neighborhood_Gilbert,3.158401506366236e-05
Neighborhood_IDOTRR,0.00039998002100649686
Neighborhood_MeadowV,2.4905675607804007e-06
Neighborhood_Mitchel,6.530146261540955e-05
Neighborhood_NAmes,0.0001823742562674597
Neighborhood_NWAmes,0.0001427489085075341
Neighborhood_NoRidge,8.476470507041928e-05
Neighborhood_NridgHt,6.480880984582654e-05
Neighborhood_OldTown,0.0007943237653280447
Neighborhood_SWISU,2.7102918714721827e-05
Neighborhood_Sawyer,7.9983504930407e-05
Neighborhood_SawyerW,0.00010448717181291188
Neighborhood_Somerst,0.00012000491568013756
Neighborhood_StoneBr,5.390085186680696e-05
Neighborhood_Timber,2.602698009824595e-05
Neighborhood_infrequent_sklearn,8.863200297426352e-05
Condition 1_Artery,0.00020328901061168202
Condition 1_Feedr,0.00013195173040127893
Condition 1_Norm,0.0004614982006654017
Condition 1_PosN,9.172677164538219e-05
Condition 1_RRAn,3.250524871609118e-05
Condition 1_infrequent_sklearn,4.2653366677592335e-05
Condition 2_Norm,6.21383482011629e-05
Condition 2_infrequent_sklearn,1.5047827699927962e-05
Bldg Type_1Fam,0.0004969552916373114
Bldg Type_2fmCon,0.00010084861125368617
Bldg Type_Duplex,0.0004971011650544661
Bldg Type_Twnhs,3.778313713348844e-05
Bldg Type_TwnhsE,7.552180699556182e-05
House Style_1.5Fin,0.0002463988549400339
House Style_1Story,0.00021525970622454454
House Style_2Story,0.00014046792944732113
House Style_SFoyer,1.9065675558991094e-05
House Style_SLvl,7.127268761520637e-05
House Style_infrequent_sklearn,7.122869574031503e-05
Roof Style_Gable,0.0003828116313423592
Roof Style_Hip,0.0003486429737550252
Roof Style_infrequent_sklearn,0.00025197526197015416
Roof Matl_CompShg,6.986584700068325e-05
Roof Matl_infrequent_sklearn,4.644513438848121e-05
Exterior 1st_AsbShng,5.447331967344334e-05
Exterior 1st_BrkFace,0.00024096560144997925
Exterior 1st_CemntBd,6.08058925033534e-05
Exterior 1st_HdBoard,0.00019428170781639952
Exterior 1st_MetalSd,0.00022807086550879766
Exterior 1st_Plywood,0.00011455155884424911
Exterior 1st_Stucco,4.431145715356202e-05
Exterior 1st_VinylSd,0.0007224369301645786
Exterior 1st_Wd Sdng,0.0004769661358123813
Exterior 1st_WdShing,4.95628939224345e-05
Exterior 1st_infrequent_sklearn,0.00015130319809489445
Exterior 2nd_AsbShng,4.364405866287434e-05
Exterior 2nd_BrkFace,2.022954865564645e-05
Exterior 2nd_CmentBd,6.0879845563464215e-05
Exterior 2nd_HdBoard,0.00017398397591874916
Exterior 2nd_MetalSd,0.0002321020362082348
Exterior 2nd_Plywood,0.00014217155551180937
Exterior 2nd_Stucco,8.257234383174444e-05
Exterior 2nd_VinylSd,0.0003699666827095056
Exterior 2nd_Wd Sdng,0.0002472844452928598
Exterior 2nd_Wd Shng,0.00012934083199502532
Exterior 2nd_infrequent_sklearn,8.08397605149154e-05
Mas Vnr Type_BrkFace,0.00012626116220844054
Mas Vnr Type_Stone,8.44160320595811e-05
Mas Vnr Type_infrequent_sklearn,7.178429545426068e-05
Exter Qual_Ex,0.00028079438018061183
Exter Qual_Gd,0.00015070811236633452
Exter Qual_TA,0.0005209503568781769
Exter Qual_infrequent_sklearn,0.00019138803929126194
Exter Cond_Fa,0.000718478416544196
Exter Cond_Gd,0.0002480516504341578
Exter Cond_TA,0.000309817239587179
Exter Cond_infrequent_sklearn,7.501633626503524e-06
Foundation_BrkTil,0.00032851502914416574
Foundation_CBlock,0.0004901418140766176
Foundation_PConc,0.00044778989280850056
Foundation_Slab,9.704221261748633e-05
Foundation_infrequent_sklearn,7.211907341557408e-06
Bsmt Qual_Ex,0.007107983152497985
Bsmt Qual_Fa,0.00029758164091213114
Bsmt Qual_Gd,0.0009565719432349956
Bsmt Qual_TA,0.00036758289335074806
Bsmt Qual_infrequent_sklearn,2.6523914996170576e-06
Bsmt Cond_Fa,0.00022805948626644347
Bsmt Cond_Gd,7.357804976307394e-05
Bsmt Cond_TA,0.000214226459028095
Bsmt Cond_infrequent_sklearn,6.004270196774158e-06
Bsmt Exposure_Av,0.00013526862079275725
Bsmt Exposure_Gd,0.000385314592876709
Bsmt Exposure_Mn,9.767589117873133e-05
Bsmt Exposure_No,0.0003587284297155131
BsmtFin Type 1_ALQ,0.0003267622620927149
BsmtFin Type 1_BLQ,0.00013621901955524572
BsmtFin Type 1_GLQ,0.0005622024108402299
BsmtFin Type 1_LwQ,0.00016752866149494474
BsmtFin Type 1_Rec,0.00020770093805441597
BsmtFin Type 1_Unf,0.0007027599328921553
BsmtFin Type 2_ALQ,4.495961729531053e-05
BsmtFin Type 2_BLQ,7.074170615572624e-05
BsmtFin Type 2_LwQ,2.295120092511434e-05
BsmtFin Type 2_Rec,3.904715315390119e-05
BsmtFin Type 2_Unf,0.00014103233715320697
BsmtFin Type 2_infrequent_sklearn,1.5682443324262357e-05
Heating_GasA,0.00010548531460816019
Heating_GasW,2.07031784042691e-05
Heating_infrequent_sklearn,0.00011537871787431996
Heating QC_Ex,0.0005656800805425585
Heating QC_Fa,0.0013575855238217333
Heating QC_Gd,0.00028582695758479025
Heating QC_TA,0.0008185601771789461
Heating QC_infrequent_sklearn,8.796818037083604e-07
Central Air_N,0.002656726544401371
Central Air_Y,0.002488592676591489
Electrical_FuseA,0.00034892816745455416
Electrical_FuseF,0.00011866144711206494
Electrical_SBrkr,0.0007727814150838787
Electrical_infrequent_sklearn,6.884903936368705e-06
Kitchen Qual_Ex,0.0036091340928984
Kitchen Qual_Fa,0.0002995323496082848
Kitchen Qual_Gd,0.0005895050914557158
Kitchen Qual_TA,0.0009283374895492819
Kitchen Qual_infrequent_sklearn,1.143009911399732e-07
Functional_Min1,7.186663351661489e-05
Functional_Min2,6.933403127827582e-05
Functional_Mod,0.00023392288796393503
Functional_Typ,0.0003722819539186204
Functional_infrequent_sklearn,0.0003517198263688292
Fireplace Qu_Ex,3.133783297826138e-05
Fireplace Qu_Fa,2.280178026904472e-05
Fireplace Qu_Gd,0.00023239997255525204
Fireplace Qu_Po,1.0628983498502452e-05
Fireplace Qu_TA,0.00031399478860369347
Garage Type_Attchd,0.0010323895383689038
Garage Type_Basment,0.00010889814219991321
Garage Type_BuiltIn,5.845289420186596e-05
Garage Type_Detchd,0.003326611242519401
Garage Type_infrequent_sklearn,1.197326829983583e-05
Garage Finish_Fin,0.000273790076859624
Garage Finish_RFn,0.00021930890947061197
Garage Finish_Unf,0.004218203055704237
Garage Qual_Fa,0.00015575189427426765
Garage Qual_TA,0.0001278533174791183
Garage Qual_infrequent_sklearn,9.698802601539558e-05
Garage Cond_Fa,7.17231214935834e-05
Garage Cond_TA,0.00012448486120219477
Garage Cond_infrequent_sklearn,3.188586690644526e-05
Paved Drive_N,0.0017164780424704356
Paved Drive_P,0.00010663947265232924
Paved Drive_Y,0.0009437648669175882
Pool QC_TA,3.2974792811211774e-05
Pool QC_infrequent_sklearn,6.13097743392963e-05
Fence_GdPrv,0.0001857637143097554
Fence_GdWo,0.00021315604205220212
Fence_MnPrv,0.00018478620819081869
Fence_infrequent_sklearn,3.0964734650542157e-06
Misc Feature_Shed,0.0002227694982702355
Misc Feature_infrequent_sklearn,0.00012566800567473255
Sale Type_COD,0.00017946630574523686
Sale Type_New,7.868022782349625e-05
Sale Type_WD ,0.00042143890902568193
Sale Type_infrequent_sklearn,0.000154218129356759
Sale Condition_Abnorml,0.0010047927013705415
Sale Condition_Family,0.0010149024917665483
Sale Condition_Normal,0.0008633943464489092
Sale Condition_Partial,0.00010063686972480756
Sale Condition_infrequent_sklearn,9.942682140887036e-05
