feature,importance
Order,0.0026221806667729246
PID,0.006710558859041508
MS SubClass,0.0022131139601849845
Lot Frontage,0.003778269907030389
Lot Area,0.016206582566760948
Overall Qual,0.3507174675865267
Overall Cond,0.009708352606930561
Year Built,0.11491029473134194
Year Remod/Add,0.01160141324825484
Mas Vnr Area,0.0019628504374981284
BsmtFin SF 1,0.011933685018501792
BsmtFin SF 2,0.0
Bsmt Unf SF,0.0038553399958549295
Total Bsmt SF,0.030826006731796095
1st Flr SF,0.0347744776739387
2nd Flr SF,0.008133985473366181
Low Qual Fin SF,0.0
Gr Liv Area,0.09903104594343347
Bsmt Full Bath,0.0014356070080562163
Bsmt Half Bath,0.0
Full Bath,0.008644760840516416
Half Bath,0.0008035718293169656
Bedroom AbvGr,0.0017931610760604853
Kitchen AbvGr,0.0
TotRms AbvGrd,0.0023817315460459227
Fireplaces,0.013905409578213587
Garage Yr Blt,0.018611556460984575
Garage Cars,0.05667695861039773
Garage Area,0.039403449947638114
Wood Deck SF,0.0016528081780361474
Open Porch SF,0.0022336710565632706
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,0.0
Pool Area,0.0
Misc Val,0.0
Mo Sold,0.0017421146042476763
Yr Sold,0.000616729004152841
MS Zoning_FV,6.174610276745137e-05
MS Zoning_RL,0.003570168256584645
MS Zoning_RM,0.003606513859255443
MS Zoning_infrequent_sklearn,0.0007720962119178994
Street_Pave,0.00013319387618741395
Street_infrequent_sklearn,0.00014643205536384786
Alley_Grvl,9.934728531846895e-05
Alley_Pave,6.61940552246495e-05
Lot Shape_IR1,0.0002577189487330029
Lot Shape_IR2,6.602567314966267e-05
Lot Shape_Reg,0.0003305242718338379
Lot Shape_infrequent_sklearn,2.337112850899148e-05
Land Contour_Bnk,0.0015528795002638796
Land Contour_HLS,0.0001635606055707419
Land Contour_Low,0.00013867215032709816
Land Contour_Lvl,0.0003450308998145279
Utilities_AllPub,1.836502782491218e-05
Utilities_infrequent_sklearn,2.0497156063272755e-05
Lot Config_Corner,0.00017768759234981367
Lot Config_CulDSac,0.00018764801684984463
Lot Config_FR2,9.141922828488893e-05
Lot Config_Inside,0.00019987938970097809
Lot Config_infrequent_sklearn,2.3784796205846403e-05
Land Slope_Gtl,0.00035884427735960976
Land Slope_Mod,0.00027354103572952673
Land Slope_infrequent_sklearn,2.930147005001603e-05
Neighborhood_Blmngtn,2.2547596620260628e-05
Neighborhood_BrDale,6.851216043418636e-05
Neighborhood_BrkSide,0.00011200607385864381
Neighborhood_ClearCr,6.844399097280667e-05
Neighborhood_CollgCr,5.975131117327758e-05
Neighborhood_Crawfor,0.00047561886889979605
Neighborhood_Edwards,0.0013077709548305106
Neighborhood_Gilbert,7.718425065212796e-05
Neighborhood_IDOTRR,0.00032009361244065296
Neighborhood_MeadowV,3.4476290105688936e-05
Neighborhood_Mitchel,6.574408213714993e-05
Neighborhood_NAmes,0.0002110892688888856
Neighborhood_NWAmes,8.798964096455562e-05
Neighborhood_NoRidge,0.00012615081898238598
Neighborhood_NridgHt,5.488621130659237e-05
Neighborhood_OldTown,0.0005751275074220058
Neighborhood_SWISU,5.750371321623775e-05
Neighborhood_Sawyer,6.560111701986636e-05
Neighborhood_SawyerW,0.00010110213619159794
Neighborhood_Somerst,0.00012621894004059397
Neighborhood_StoneBr,6.155954605667814e-05
Neighborhood_Timber,2.968190545065247e-05
Neighborhood_infrequent_sklearn,0.00013745360684819547
Condition 1_Artery,0.00021701737472725453
Condition 1_Feedr,0.00013059172432766338
Condition 1_Norm,0.0002706759883017642
Condition 1_PosN,4.9215292274422406e-05
Condition 1_RRAn,3.744851844595474e-05
Condition 1_infrequent_sklearn,4.1477841669002746e-05
Condition 2_Norm,3.1202952914828415e-05
Condition 2_infrequent_sklearn,5.201248058459298e-05
Bldg Type_1Fam,0.0005158078545250282
Bldg Type_2fmCon,7.062619179470475e-05
Bldg Type_Duplex,0.0002607479843740417
Bldg Type_Twnhs,5.030960995132222e-05
Bldg Type_TwnhsE,7.828456697385789e-05
House Style_1.5Fin,0.00025355635157443346
House Style_1Story,0.0003389598006372955
House Style_2Story,0.00026069041130174575
House Style_SFoyer,2.176752157474107e-05
House Style_SLvl,8.202764876813274e-05
House Style_infrequent_sklearn,0.00010296372123866784
Roof Style_Gable,0.00028665227358469194
Roof Style_Hip,0.0002923482102571001
Roof Style_infrequent_sklearn,0.00018001221353015925
Roof Matl_CompShg,7.611714298662406e-05
Roof Matl_infrequent_sklearn,0.0001622926276092108
Exterior 1st_AsbShng,5.877430190580918e-05
Exterior 1st_BrkFace,0.00018429844320143608
Exterior 1st_CemntBd,9.524744066919313e-05
Exterior 1st_HdBoard,0.00012297244319128334
Exterior 1st_MetalSd,0.00017856001649679658
Exterior 1st_Plywood,8.72789415898049e-05
Exterior 1st_Stucco,8.810235780836211e-05
Exterior 1st_VinylSd,0.0005013092402729361
Exterior 1st_Wd Sdng,0.0003489403408238238
Exterior 1st_WdShing,5.6631369808819e-05
Exterior 1st_infrequent_sklearn,0.0003069113438654532
Exterior 2nd_AsbShng,6.448253343887365e-05
Exterior 2nd_BrkFace,2.54341133543347e-05
Exterior 2nd_CmentBd,6.33941133944641e-05
Exterior 2nd_HdBoard,0.0001430200022838718
Exterior 2nd_MetalSd,0.000180638307096838
Exterior 2nd_Plywood,0.00011643324524273607
Exterior 2nd_Stucco,0.00010615131322610572
Exterior 2nd_VinylSd,0.00046241532753624653
Exterior 2nd_Wd Sdng,0.00024457949836574866
Exterior 2nd_Wd Shng,0.0001032653902818519
Exterior 2nd_infrequent_sklearn,0.0001338504928251887
Mas Vnr Type_BrkFace,9.815451911681533e-05
Mas Vnr Type_Stone,0.0001146285932069848
Mas Vnr Type_infrequent_sklearn,7.261394803620927e-05
Exter Qual_Ex,0.00026531122842465393
Exter Qual_Gd,0.0008056452588646512
Exter Qual_TA,0.04359844162652213
Exter Qual_infrequent_sklearn,0.0003175037001147753
Exter Cond_Fa,0.0007213318964998832
Exter Cond_Gd,0.0001983480938877305
Exter Cond_TA,0.00029715466230088833
Exter Cond_infrequent_sklearn,1.0394733535361226e-05
Foundation_BrkTil,0.00027066129056894483
Foundation_CBlock,0.00036379135256425175
Foundation_PConc,0.00037886774753201276
Foundation_Slab,0.00015615479264102807
Foundation_infrequent_sklearn,2.7184053885204254e-05
Bsmt Qual_Ex,0.00930151778024293
Bsmt Qual_Fa,0.00036588237554359616
Bsmt Qual_Gd,0.002469188960189587
Bsmt Qual_TA,0.0006991958973305085
Bsmt Qual_infrequent_sklearn,1.0159997403915819e-06
Bsmt Cond_Fa,0.0001899431847071325
Bsmt Cond_Gd,7.102443318462102e-05
Bsmt Cond_TA,0.00014991549621117204
Bsmt Cond_infrequent_sklearn,8.602161204352757e-06
Bsmt Exposure_Av,0.00012148870911581538
Bsmt Exposure_Gd,0.0006267218557296295
Bsmt Exposure_Mn,8.597879501279225e-05
Bsmt Exposure_No,0.00032399045242912034
BsmtFin Type 1_ALQ,0.00026783340228567974
BsmtFin Type 1_BLQ,9.35795310106973e-05
BsmtFin Type 1_GLQ,0.0005296677591725551
BsmtFin Type 1_LwQ,0.0001190217539373297
BsmtFin Type 1_Rec,0.0001438708541414663
BsmtFin Type 1_Unf,0.001100865744806429
BsmtFin Type 2_ALQ,7.788576766371367e-05
BsmtFin Type 2_BLQ,5.418058291517673e-05
BsmtFin Type 2_LwQ,4.0001198664133306e-05
BsmtFin Type 2_Rec,2.9032457021188396e-05
BsmtFin Type 2_Unf,0.0001079728652770485
BsmtFin Type 2_infrequent_sklearn,2.446158520467217e-05
Heating_GasA,0.00011952094421309909
Heating_GasW,4.44367273450304e-05
Heating_infrequent_sklearn,8.01624437149401e-05
Heating QC_Ex,0.00044970999563081896
Heating QC_Fa,0.0007340580319189131
Heating QC_Gd,0.00021741513379096693
Heating QC_TA,0.0004979353868629208
Heating QC_infrequent_sklearn,1.3635470595410424e-06
Central Air_N,0.004020748101011194
Central Air_Y,0.0049648948393868865
Electrical_FuseA,0.0001976233197100138
Electrical_FuseF,0.00016219872885819294
Electrical_SBrkr,0.00046431380026574104
Electrical_infrequent_sklearn,1.551167682307274e-05
Kitchen Qual_Ex,0.006580473282282279
Kitchen Qual_Fa,0.00040956548359588667
Kitchen Qual_Gd,0.0010726069769067018
Kitchen Qual_TA,0.001167640916676191
Kitchen Qual_infrequent_sklearn,0.0
Functional_Min1,7.412792734268142e-05
Functional_Min2,5.0429974304448556e-05
Functional_Mod,0.0002481989467510347
Functional_Typ,0.0004241407173717045
Functional_infrequent_sklearn,0.0005367222697520912
Fireplace Qu_Ex,5.26523263724088e-05
Fireplace Qu_Fa,2.1950789540995403e-05
Fireplace Qu_Gd,0.00017081747417866492
Fireplace Qu_Po,1.716722473853849e-05
Fireplace Qu_TA,0.00017903252819236835
Garage Type_Attchd,0.0011352254113322332
Garage Type_Basment,9.511526867553864e-05
Garage Type_BuiltIn,7.853451841851037e-05
Garage Type_Detchd,0.0034240410124888546
Garage Type_infrequent_sklearn,4.803143917936174e-05
Garage Finish_Fin,0.00023917778326491913
Garage Finish_RFn,0.0001630880964590435
Garage Finish_Unf,0.01300751614313703
Garage Qual_Fa,0.00014212679674448271
Garage Qual_TA,0.00011371207631540588
Garage Qual_infrequent_sklearn,9.794713247817465e-05
Garage Cond_Fa,8.949525463096968e-05
Garage Cond_TA,0.00012705150989275125
Garage Cond_infrequent_sklearn,8.722533491620227e-05
Paved Drive_N,0.002184552618040047
Paved Drive_P,0.00011783530054449283
Paved Drive_Y,0.0024430010317307614
Pool QC_TA,9.772099816224454e-05
Pool QC_infrequent_sklearn,4.7646622786049854e-05
Fence_GdPrv,0.00020189766652278952
Fence_GdWo,0.0001452264153494976
Fence_MnPrv,0.0002044564629669201
Fence_infrequent_sklearn,2.4432447608584987e-06
Misc Feature_Shed,0.00022923322644784308
Misc Feature_infrequent_sklearn,0.00027501525511314115
Sale Type_COD,0.00023691074671471597
Sale Type_New,0.00010009145641543667
Sale Type_WD ,0.0004089853367130352
Sale Type_infrequent_sklearn,0.00019158810969943795
Sale Condition_Abnorml,0.0011666831547919164
Sale Condition_Family,0.0009220223391303759
Sale Condition_Normal,0.0007775317087276386
Sale Condition_Partial,0.00010566133960550805
Sale Condition_infrequent_sklearn,0.00023515406897846707
