feature,importance
Order,0.003572802257378835
PID,0.007771104914913586
MS SubClass,0.0026629005987712467
Lot Frontage,0.003788843038543038
Lot Area,0.01434297259229298
Overall Qual,0.5718497086179338
Overall Cond,0.01000587710120615
Year Built,0.011452187479451583
Year Remod/Add,0.009818765464173844
Mas Vnr Area,0.002016540218267144
BsmtFin SF 1,0.012557591361947812
BsmtFin SF 2,0.0
Bsmt Unf SF,0.005003477116896206
Total Bsmt SF,0.03064041318450303
1st Flr SF,0.03032659142947369
2nd Flr SF,0.006442148711582694
Low Qual Fin SF,0.0
Gr Liv Area,0.07950128291841335
Bsmt Full Bath,0.0015996255490871886
Bsmt Half Bath,0.0
Full Bath,0.0041260926847374365
Half Bath,0.0007034137770328637
Bedroom AbvGr,0.001325142877988742
Kitchen AbvGr,0.0
TotRms AbvGrd,0.0015586411055620245
Fireplaces,0.0029615310659022926
Garage Yr Blt,0.003541954462416462
Garage Cars,0.0475372678375097
Garage Area,0.04941283697877353
Wood Deck SF,0.00209453456036628
Open Porch SF,0.002600521977017606
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,0.0
Pool Area,0.0
Misc Val,0.0
Mo Sold,0.002592900603683122
Yr Sold,0.0007774958859803551
MS Zoning_FV,3.825030120074818e-05
MS Zoning_RL,0.0020595101410821807
MS Zoning_RM,0.006459543089631646
MS Zoning_infrequent_sklearn,0.0009793719688780747
Street_Pave,9.912999108244603e-05
Street_infrequent_sklearn,0.00016488090624050758
Alley_Grvl,8.486093512201113e-05
Alley_Pave,5.809996982379587e-05
Lot Shape_IR1,0.0003060887710483295
Lot Shape_IR2,0.00010717650021205575
Lot Shape_Reg,0.0004420279631200948
Lot Shape_infrequent_sklearn,4.692468111137137e-06
Land Contour_Bnk,0.0017297495000710597
Land Contour_HLS,0.00012984768513577523
Land Contour_Low,5.5105559744987796e-05
Land Contour_Lvl,0.0004588057344374935
Utilities_AllPub,2.314986740280959e-05
Utilities_infrequent_sklearn,1.854303765845162e-05
Lot Config_Corner,0.00033113990063597356
Lot Config_CulDSac,0.00017532023434860462
Lot Config_FR2,9.899633671237791e-05
Lot Config_Inside,0.00035470277378832967
Lot Config_infrequent_sklearn,2.0955464249985445e-05
Land Slope_Gtl,0.00025376500708185125
Land Slope_Mod,0.00021386119216713198
Land Slope_infrequent_sklearn,1.8721142222346936e-05
Neighborhood_Blmngtn,2.0969264894773826e-05
Neighborhood_BrDale,2.2100975698109287e-05
Neighborhood_BrkSide,0.00011332723060063446
Neighborhood_ClearCr,4.566619697188845e-05
Neighborhood_CollgCr,7.907147905864683e-05
Neighborhood_Crawfor,0.0004879174207783055
Neighborhood_Edwards,0.0011298399902875363
Neighborhood_Gilbert,3.626196151407923e-05
Neighborhood_IDOTRR,0.00028895872362155896
Neighborhood_MeadowV,7.803628126413661e-06
Neighborhood_Mitchel,5.296265174080725e-05
Neighborhood_NAmes,0.00020873616859810385
Neighborhood_NWAmes,0.00010731128903316743
Neighborhood_NoRidge,4.095109727192113e-05
Neighborhood_NridgHt,6.36843542179691e-05
Neighborhood_OldTown,0.0004990086158799122
Neighborhood_SWISU,4.362352671058044e-05
Neighborhood_Sawyer,8.854061646558851e-05
Neighborhood_SawyerW,7.613723027923937e-05
Neighborhood_Somerst,8.273644382063835e-05
Neighborhood_StoneBr,5.9423002130517744e-05
Neighborhood_Timber,2.4596322709978084e-05
Neighborhood_infrequent_sklearn,0.00014382377214292784
Condition 1_Artery,0.00021887582854125795
Condition 1_Feedr,0.00012191372976749044
Condition 1_Norm,0.0003554852679679771
Condition 1_PosN,2.486025142261305e-05
Condition 1_RRAn,7.103999843888877e-05
Condition 1_infrequent_sklearn,4.586486494426314e-05
Condition 2_Norm,9.936854370633195e-05
Condition 2_infrequent_sklearn,3.8408647529601155e-05
Bldg Type_1Fam,0.00043666776563270026
Bldg Type_2fmCon,0.0001181893507605409
Bldg Type_Duplex,0.0004718837166265369
Bldg Type_Twnhs,5.3468622850193016e-05
Bldg Type_TwnhsE,5.336947625316328e-05
House Style_1.5Fin,0.00021716260459117467
House Style_1Story,0.00015668279023747713
House Style_2Story,0.0002567898356344343
House Style_SFoyer,1.5944124367615485e-05
House Style_SLvl,0.00011385080337909325
House Style_infrequent_sklearn,9.249687953522607e-05
Roof Style_Gable,0.0003485110344928428
Roof Style_Hip,0.0002744202203107058
Roof Style_infrequent_sklearn,0.00016130278091775849
Roof Matl_CompShg,6.335899505194934e-05
Roof Matl_infrequent_sklearn,0.00012559419566669455
Exterior 1st_AsbShng,3.511518223331627e-05
Exterior 1st_BrkFace,0.0002064338013864471
Exterior 1st_CemntBd,8.995797851822812e-05
Exterior 1st_HdBoard,0.0001684172391147883
Exterior 1st_MetalSd,0.00022835164011912143
Exterior 1st_Plywood,0.00011949164917742248
Exterior 1st_Stucco,7.85034319766567e-05
Exterior 1st_VinylSd,0.00042812024707011116
Exterior 1st_Wd Sdng,0.00035890075148662444
Exterior 1st_WdShing,4.46064313091639e-05
