feature,importance
Overall Qual,0.23516276
Bsmt Qual_Ex,0.097382255
Garage Cars,0.06658441
Central Air_N,0.041051216
MS Zoning_RM,0.038952477
Heating_infrequent_sklearn,0.026177334
Central Air_Y,0.024062281
Kitchen Qual_Ex,0.020737713
Fireplaces,0.020234661
Gr Liv Area,0.016205331
Full Bath,0.014838798
Paved Drive_N,0.014756223
Kitchen AbvGr,0.01404428
Year Built,0.01369684
Heating_GasA,0.013363893
Exter Qual_Ex,0.0132035455
Kitchen Qual_TA,0.012024563
Exter Cond_infrequent_sklearn,0.011491109
Roof Style_infrequent_sklearn,0.011353668
Heating QC_infrequent_sklearn,0.009648053
Land Slope_Gtl,0.009113821
Total Bsmt SF,0.008926411
MS Zoning_RL,0.008575879
1st Flr SF,0.008166354
Exter Qual_Fa,0.008019607
Exter Qual_TA,0.0077859163
Garage Area,0.007450635
MS Zoning_infrequent_sklearn,0.0070559382
Sale Condition_Abnorml,0.0059942007
Condition 2_Norm,0.005894982
Land Contour_Bnk,0.005682886
Neighborhood_Crawfor,0.0051645087
Overall Cond,0.0048064054
Bsmt Exposure_Gd,0.0047896197
Garage Finish_Unf,0.004710447
Paved Drive_Y,0.004624479
Year Remod/Add,0.0045971116
Kitchen Qual_Fa,0.0041202153
Bsmt Qual_TA,0.0040496085
BsmtFin SF 1,0.0040086056
Functional_infrequent_sklearn,0.00389089
Sale Condition_Family,0.0035929657
Sale Condition_Normal,0.0035829172
Bsmt Full Bath,0.0035032895
Foundation_BrkTil,0.0032471204
Neighborhood_Edwards,0.002928344
Exterior 2nd_CmentBd,0.002890498
2nd Flr SF,0.002785106
Street_Pave,0.0025990421
Land Contour_Low,0.0024791202
Exterior 2nd_BrkFace,0.00247335
Garage Yr Blt,0.0024631561
Lot Area,0.002448355
Roof Matl_CompShg,0.002403936
Exterior 1st_BrkFace,0.0023424674
Neighborhood_ClearCr,0.0022905183
Condition 1_Artery,0.002186599
House Style_SLvl,0.0020489406
Sale Type_WD ,0.0020011123
Half Bath,0.00194791
Exter Qual_Gd,0.0019142728
Screen Porch,0.0018454386
Exterior 2nd_VinylSd,0.0018128951
Neighborhood_SWISU,0.0018106631
Sale Type_infrequent_sklearn,0.0017779953
Bedroom AbvGr,0.0017763573
Functional_Typ,0.0017749263
